Date,Price,Open,High,Low,Vol.,Change %
6/6/2024,71.53,71.82,72.98,71.25,19.25K,-0.65%
6/5/2024,72,72.72,73.26,70.96,25.06K,-0.80%
6/4/2024,72.58,74.52,74.71,72.27,29.74K,-2.75%
6/3/2024,74.63,74.44,77.8,74.25,29.51K,0.76%
5/31/2024,74.07,75.48,76.42,73.85,19.01K,-1.50%
5/30/2024,75.2,73.66,75.84,73.37,19.23K,1.69%
5/29/2024,73.95,74.5,75.6,72.95,21.29K,-0.87%
5/28/2024,74.6,75.99,76.24,74.15,20.35K,-2.50%
5/27/2024,76.51,75.7,76.99,75.58,11.68K,0.96%
5/24/2024,75.78,76.1,76.7,73.9,20.91K,-0.42%
5/23/2024,76.1,76.5,78.1,75.52,28.44K,-0.74%
5/22/2024,76.67,75.83,77.5,75.5,26.14K,0.62%
5/21/2024,76.2,74.18,76.64,73.05,27.58K,2.64%
5/20/2024,74.24,71,74.9,71,28.80K,5.28%
5/17/2024,70.52,70.5,71.52,69.6,19.40K,-0.38%
5/16/2024,70.79,69.09,71.27,68.88,19.43K,2.31%
5/15/2024,69.19,70.2,71.83,69.09,22.11K,-1.30%
5/14/2024,70.1,70.02,71.32,69.02,15.41K,0.04%
5/13/2024,70.07,71.33,71.49,68.75,24.98K,-2.12%
5/10/2024,71.59,73.5,75.5,71.28,22.20K,-2.76%
5/9/2024,73.62,71.4,74.08,71.13,14.64K,2.36%
5/8/2024,71.92,71.03,72.7,69.61,21.90K,1.51%
5/7/2024,70.85,73.25,74.3,70.57,31.16K,-3.83%
5/6/2024,73.67,71.74,74.49,71.52,18.25K,2.55%
5/3/2024,71.84,72.69,74.55,71.45,25.96K,-1.17%
5/2/2024,72.69,67.88,73.18,67.25,38.25K,7.04%
5/1/2024,67.91,69.19,69.26,67.35,12.26K,-1.86%
4/30/2024,69.2,65.95,69.6,65.38,26.24K,5.17%
4/29/2024,65.8,67,67.35,65.01,18.42K,-2.53%
4/26/2024,67.51,68.21,69.2,66.57,18.84K,-1.32%
4/25/2024,68.41,67,69.92,66.54,27.09K,2.33%
4/24/2024,66.85,66.25,67.45,64.8,22.73K,0.71%
4/23/2024,66.38,66.39,67.21,65.34,22.88K,-0.03%
4/22/2024,66.4,68,68.19,66.02,25.67K,-3.09%
4/19/2024,68.52,72.57,73.3,68.13,28.40K,-4.23%
4/18/2024,71.55,69.9,72.22,68.15,31.33K,1.73%
4/17/2024,70.33,74.13,74.48,69.24,37.88K,-5.28%
4/16/2024,74.25,70.26,74.9,69.87,36.63K,5.83%
