date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-26,22,FR,ES00981,335.332,402.182,66.85,0.0,402.182
2024-08-26,22,PT,ES00818,-208.093,-916.27,-708.177,-1429.981,0.0
2025-06-24,9,PT,ES00277,-2091.57,-2091.57,0.0,-11439.849,0.0
2025-06-24,9,FR,ES00859,977.982,977.982,-0.0,0.0,4629.981
2025-06-24,9,PT,ES00813,-71.898,-71.898,-0.0,-393.245,0.0
2025-06-24,9,PT,ES01092,-261.446,-261.446,0.0,-1429.981,0.0
2025-06-24,9,PT,ES00817,-261.446,-261.446,0.0,-1429.981,0.0
2025-06-24,9,FR,ES00742,84.952,84.952,0.0,0.0,402.182
2025-06-24,9,FR,ES01126,483.283,483.283,-0.0,0.0,2287.97
2025-06-24,9,FR,ES00981,84.952,84.952,0.0,0.0,402.182
2025-06-24,9,PT,ES00818,-261.446,-261.446,0.0,-1429.981,0.0
2025-06-24,10,PT,ES00277,-1821.64,-1821.64,0.0,-11439.849,0.0
2025-06-24,10,FR,ES00859,0.0,0.0,0.0,0.0,0.0
2025-06-24,10,PT,ES00813,-62.619,-62.619,-0.0,-393.245,0.0
2025-06-24,10,PT,ES01092,-227.705,-227.705,0.0,-1429.981,0.0
2025-06-24,10,PT,ES00817,-227.705,-227.705,0.0,-1429.981,0.0
2025-06-24,10,FR,ES00742,0.0,0.0,0.0,0.0,0.0
2025-06-24,10,FR,ES01126,0.0,0.0,0.0,0.0,0.0
2025-06-24,10,FR,ES00981,0.0,0.0,0.0,0.0,0.0
2025-06-24,10,PT,ES00818,-227.705,-227.705,0.0,-1429.981,0.0
2025-06-24,11,PT,ES00277,-1624.351,-1624.351,0.0,-11439.849,0.0
2025-06-24,11,FR,ES00859,0.0,0.0,0.0,0.0,0.0
2025-06-24,11,PT,ES00813,-55.837,-55.837,-0.0,-393.245,0.0
2025-06-24,11,PT,ES01092,-203.044,-203.044,0.0,-1429.981,0.0
2025-06-24,11,PT,ES00817,-203.044,-203.044,0.0,-1429.981,0.0
2025-06-24,11,FR,ES00742,0.0,0.0,0.0,0.0,0.0
2025-06-24,11,FR,ES01126,0.0,0.0,0.0,0.0,0.0
2025-06-24,11,FR,ES00981,0.0,0.0,0.0,0.0,0.0
2025-06-24,11,PT,ES00818,-203.044,-203.044,0.0,-1429.981,0.0
2025-06-24,12,PT,ES00277,-1353.601,-1353.601,0.0,-11439.849,0.0
2025-06-24,12,FR,ES00859,0.0,0.0,0.0,0.0,0.0
2025-06-24,12,PT,ES00813,-46.53,-46.53,-0.0,-393.245,0.0
2025-06-24,12,PT,ES01092,-169.2,-169.2,0.0,-1429.981,0.0
2025-06-24,12,PT,ES00817,-169.2,-169.2,0.0,-1429.981,0.0
2025-06-24,12,FR,ES00742,0.0,0.0,0.0,0.0,0.0
2025-06-24,12,FR,ES01126,0.0,0.0,0.0,0.0,0.0
2025-06-24,12,FR,ES00981,0.0,0.0,0.0,0.0,0.0
2025-06-24,12,PT,ES00818,-169.2,-169.2,0.0,-1429.981,0.0
2025-06-24,13,PT,ES00277,-1354.305,-1354.305,0.0,-11439.849,0.0
2025-06-24,13,FR,ES00859,0.0,0.0,0.0,0.0,0.0
2025-06-24,13,PT,ES00813,-46.554,-46.554,-0.0,-393.245,0.0
2025-06-24,13,PT,ES01092,-169.288,-169.288,0.0,-1429.981,0.0
2025-06-24,13,PT,ES00817,-169.288,-169.288,0.0,-1429.981,0.0
2025-06-24,13,FR,ES00742,0.0,0.0,0.0,0.0,0.0
2025-06-24,13,FR,ES01126,0.0,0.0,0.0,0.0,0.0
2025-06-24,13,FR,ES00981,0.0,0.0,0.0,0.0,0.0
2025-06-24,13,PT,ES00818,-169.288,-169.288,0.0,-1429.981,0.0
2025-06-24,14,PT,ES00277,-1373.973,-1373.973,0.0,-11439.849,0.0
2025-06-24,14,FR,ES00859,0.0,0.0,0.0,0.0,0.0
2025-06-24,14,PT,ES00813,-47.23,-47.23,-0.0,-393.245,0.0
2025-06-24,14,PT,ES01092,-171.747,-171.747,0.0,-1429.981,0.0
2025-06-24,14,PT,ES00817,-171.747,-171.747,0.0,-1429.981,0.0
2025-06-24,14,FR,ES00742,0.0,0.0,0.0,0.0,0.0
2025-06-24,14,FR,ES01126,0.0,0.0,0.0,0.0,0.0
2025-06-24,14,FR,ES00981,0.0,0.0,0.0,0.0,0.0
2025-06-24,14,PT,ES00818,-171.747,-171.747,0.0,-1429.981,0.0
2025-06-24,15,PT,ES00277,-2145.613,0.0,2145.613,-11439.849,0.0
2025-06-24,15,FR,ES00859,-4108.093,-3759.528,348.565,-4629.981,0.0
2025-06-24,15,PT,ES00813,-73.755,-393.245,-319.489,-393.245,0.0
2025-06-24,15,PT,ES01092,-268.202,-341.15,-72.949,-1429.981,0.0
2025-06-24,15,PT,ES00817,-268.202,-1429.981,-1161.78,-1429.981,0.0
2025-06-24,15,FR,ES00742,-356.849,-402.182,-45.334,-402.182,0.0
2025-06-24,15,FR,ES01126,-2030.072,-2287.97,-257.898,-2287.97,0.0
2025-06-24,15,FR,ES00981,-356.849,-402.182,-45.334,-402.182,0.0
2025-06-24,15,PT,ES00818,-268.202,-859.597,-591.395,-1429.981,0.0
2025-06-24,16,PT,ES00277,-3330.937,-3330.937,-0.0,-11439.849,0.0
2025-06-24,16,FR,ES00859,-1344.949,-1344.949,-0.0,-4629.981,0.0
2025-06-24,16,PT,ES00813,-114.501,-114.501,0.0,-393.245,0.0
2025-06-24,16,PT,ES01092,-416.367,-416.367,0.0,-1429.981,0.0
2025-06-24,16,PT,ES00817,-416.367,-416.367,0.0,-1429.981,0.0
